0.002	89
0.0343	96
0.064	103
0.0763	97
0.0925	97
0.1128	101
0.1587	109
0.1594	101
0.1831	107
0.1981	107
0.2253	89
0.2439	109
0.266	110
0.2842	99
0.3288	107
0.339	96
0.3393	93
0.3486	90
0.3488	99
0.376	112
0.4068	104
0.4221	96
0.4571	113
0.4648	80
0.4682	91
0.4756	103
0.4795	100
0.4978	98
0.5163	116
0.531	101
0.5412	103
0.5452	105
0.5658	104
0.5663	109
0.6264	100
0.6506	101
0.6984	116
0.7449	101
0.7463	85
0.7532	100
0.8061	85
0.8403	99
0.8802	98
0.9371	92
0.9436	100
0.9469	99
0.956	101
0.9596	94
0.9881	104
0.6931 	104
